defaulted,loanid,username,loanapplicationstarteddate,languagecode,age,gender,country,appliedamount,interest,loanduration,education,maritalstatus,nrofdependants,employmentstatus,employmentdurationcurrentemployer,workexperience,occupationarea,homeownershiptype,incometotal,incomefromsalary,incomefromothers,existingliabilities,liabilitiestotal,debttoincome,noofearlierdefaults,noofpreviousloansbeforeloan,amountofpreviousloansbeforeloan,priorrepayments,previousearlyrepaymentsbeforeloan,previousearlyrepaymentscountbeforeloan
0,C04DF0F3-886C-492D-96EA-AB1800E07EBB,BO4A4K314,2019-12-03 13:37:00,6,46,2,ES,2126.0,72.79,60,4,-1,,-1,Other,,-1,1,2500.0,0.0,0.0,1,600.0,0.0,0,0,0.0,0.0,,0
0,E2FE9B3B-3A72-4E3A-8430-AB1800E1F006,k0s1993,2019-12-03 13:42:00,3,26,0,EE,4253.0,34.36,60,4,-1,,-1,MoreThan5Years,,-1,2,1250.0,0.0,0.0,1,199.0,0.0,0,0,0.0,0.0,,0
0,8660EC90-2323-4EF7-B9AA-AB1800E2BB8B,BO75A9414,2019-12-03 13:45:00,6,69,2,ES,3189.0,31.54,36,5,-1,,-1,Retiree,,-1,1,2100.0,0.0,0.0,4,633.31,0.0,0,1,2126.0,112.84,,0
0,26D5267F-BD4F-42D0-AE3E-AB1800E58DD0,BOA231K99,2019-12-03 13:55:00,6,37,2,ES,2126.0,72.82,60,1,-1,,-1,MoreThan5Years,,-1,2,1100.0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,,0
0,9AC0E0FB-9C91-4BFE-817B-AB1800E5CFF2,BOA53K6K6,2019-12-03 13:56:00,6,40,0,ES,1063.0,61.86,60,5,-1,,-1,MoreThan5Years,,-1,5,1300.0,0.0,0.0,3,439.58,0.0,0,2,1061.0,120.48,,0
0,B73FF985-EF55-48E7-9800-AB1800E844E7,BO516611,2019-12-03 14:05:00,1,33,0,EE,531.0,10.09,60,4,-1,,-1,UpTo5Years,,-1,3,1100.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,BB621B8A-0D53-4541-9CA9-AB1800E8A328,BO22K94A2,2019-12-03 14:07:00,4,52,1,FI,1037.0,39.81,36,4,-1,,-1,MoreThan5Years,,-1,1,5500.0,0.0,0.0,6,2644.9,0.0,0,1,10630.0,2673.16,,0
1,0931B507-AC3F-4E1E-B37E-AB1800E8CF5A,BOK451232,2019-12-03 14:07:00,1,40,0,EE,4253.0,9.89,36,1,-1,,-1,UpTo1Year,,-1,3,1600.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,EED87EA1-4F0E-43D3-935B-AB1800E9426C,BOA1393A4,2019-12-03 14:09:00,6,25,2,ES,956.0,72.86,60,4,-1,,-1,MoreThan5Years,,-1,2,1200.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,E03DFDF2-2735-477E-B44D-AB1800EC1CF6,BO5443464,2019-12-03 14:19:00,6,25,2,ES,2126.0,72.82,60,5,-1,,-1,UpTo5Years,,-1,3,1045.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,D9E1601D-A8E6-4938-B71D-AB1800ECB41C,BO5A4K44,2019-12-03 14:21:00,4,52,0,FI,4150.0,37.82,48,5,-1,,-1,MoreThan5Years,,-1,1,3400.0,0.0,0.0,3,1360.0,0.0,0,1,10150.0,10567.28,,0
0,3F3C940F-8EF7-4C93-8A96-AB1800EDF2FA,BOA1741K9,2019-12-03 14:26:00,1,34,0,EE,4253.0,10.64,60,3,-1,,-1,UpTo1Year,,-1,10,1700.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,AD4C8DC1-A654-4C7F-B985-AB1800EF360B,BO3722135,2019-12-03 14:30:00,4,56,1,FI,518.0,36.85,60,3,-1,,-1,MoreThan5Years,,-1,3,1550.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,5386E5A7-C5B3-4A0E-BE88-AB1800EF8B6B,BO43A9967,2019-12-03 14:32:00,1,33,1,EE,7442.0,40.27,60,3,-1,,-1,UpTo5Years,,-1,2,1200.0,0.0,0.0,0,0.0,0.0,0,1,531.0,549.2,,0
0,240DBCFD-6E59-456F-B1EC-AB1800F03C20,BO71617K5,2019-12-03 14:34:00,3,47,1,EE,4253.0,8.79,60,5,-1,,-1,MoreThan5Years,,-1,1,1060.0,0.0,0.0,3,607.0,0.0,0,0,0.0,0.0,,0
0,2919D878-4777-4B9E-A377-AB1800F15ED1,BO9K53152,2019-12-03 14:38:00,6,48,2,ES,531.0,54.07,36,4,-1,,-1,MoreThan5Years,,-1,8,550.0,0.0,0.0,2,195.3,0.0,0,1,850.0,45.13,,0
1,10C3C746-B33F-4F57-9A15-AB1800F3CCA3,BO61A3439,2019-12-03 14:47:00,6,52,2,ES,2126.0,72.81,60,1,-1,,-1,UpTo5Years,,-1,3,980.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,3CF34D44-EEE1-4225-83B9-AB1800F42817,BO4442135,2019-12-03 14:48:00,4,54,1,FI,4150.0,39.81,36,3,-1,,-1,MoreThan5Years,,-1,8,3000.0,0.0,0.0,1,200.0,0.0,0,0,0.0,0.0,,0
0,08E9B76D-14F1-4304-B390-AB1800F52571,BO1342542,2019-12-03 14:52:00,6,34,2,ES,2126.0,72.8,60,5,-1,,-1,MoreThan5Years,,-1,10,1003.0,0.0,0.0,1,99.0,0.0,0,0,0.0,0.0,,0
0,9DD826E8-A5C3-4686-8579-AB1800F86532,BOK623776,2019-12-03 15:04:00,4,65,0,FI,4150.0,37.68,48,3,-1,,-1,Retiree,,-1,1,980.0,0.0,0.0,1,243.72,0.0,0,1,4355.0,1073.75,,0
1,289D6465-5C4F-4E62-A60A-AB1800F95D92,BO9339135,2019-12-03 15:07:00,6,36,2,ES,531.0,72.78,60,5,-1,,-1,MoreThan5Years,,-1,1,3.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,62530045-DB63-4119-850A-AB1800F9993C,BO6A32636,2019-12-03 15:08:00,1,58,0,EE,4253.0,10.26,36,4,-1,,-1,Other,,-1,10,1300.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,3F86AE80-DA66-4B24-BC74-AB1800FB590C,BO7151924,2019-12-03 15:15:00,6,56,2,ES,2126.0,72.76,60,4,-1,,-1,MoreThan5Years,,-1,1,1500.0,0.0,0.0,1,196.0,0.0,0,0,0.0,0.0,,0
0,B23B5951-B937-4CEF-9F1D-AB1800FBA0B8,BO5A7K939,2019-12-03 15:16:00,1,46,1,EE,6379.0,9.34,60,4,-1,,-1,UpTo1Year,,-1,1,1000.0,0.0,0.0,2,152.82,0.0,0,2,3400.0,252.07,,0
0,DE95FEC7-3874-40B4-A5D8-AB1800FEB827,BO23K1KK9,2019-12-03 15:27:00,6,32,2,ES,2126.0,72.78,60,4,-1,,-1,UpTo1Year,,-1,2,900.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,B381F1A0-F2B0-432A-9B20-AB1801007776,BO2K99135,2019-12-03 15:33:00,6,65,2,ES,2126.0,72.76,60,1,-1,,-1,Retiree,,-1,8,1183.0,0.0,0.0,3,390.0,0.0,0,0,0.0,0.0,,0
0,D7D42C0A-A383-4269-A456-AB180101AEB2,BOAAK9239,2019-12-03 15:38:00,6,46,2,ES,4253.0,25.09,60,4,-1,,-1,MoreThan5Years,,-1,8,1200.0,0.0,0.0,3,302.16,0.0,0,2,6378.0,818.9999999999999,,0
0,6EB3844C-1377-4399-9F94-AB180101EB7A,BO796K546,2019-12-03 15:39:00,4,52,0,FI,2698.0,36.46,60,3,-1,,-1,MoreThan5Years,,-1,1,1800.0,0.0,0.0,4,1169.0,0.0,0,0,0.0,0.0,,0
0,0EB1E5CD-251E-4436-8881-AB180102846D,BO5775773,2019-12-03 15:41:00,6,33,0,ES,4253.0,25.09,60,5,-1,,-1,MoreThan5Years,,-1,2,1414.0,0.0,0.0,2,330.11,0.0,0,2,6378.0,958.84,,0
0,D97551E3-B717-4B8C-88DA-AB18010320CE,BOA574234,2019-12-03 15:43:00,1,54,0,EE,956.0,8.41,36,4,-1,,-1,MoreThan5Years,,-1,10,1300.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,4164A8B2-100E-46AD-AEA4-AB1801036E0D,BO9449135,2019-12-03 15:44:00,1,49,1,EE,531.0,9.34,60,3,-1,,-1,UpTo5Years,,-1,1,770.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,49FF07BA-9A3A-40AC-BD84-AB1801038F7B,BOK549135,2019-12-03 15:45:00,3,51,0,EE,4253.0,10.45,36,4,-1,,-1,MoreThan5Years,,-1,1,1800.0,0.0,0.0,1,320.0,0.0,0,0,0.0,0.0,,0
0,CEA56878-BEF8-472B-B902-AB1801045CF8,BOA997776,2019-12-03 15:47:00,6,40,2,ES,3721.0,61.94,60,1,-1,,-1,UpTo1Year,,-1,1,678.0,0.0,0.0,2,127.32,0.0,0,1,2126.0,152.82,,0
0,05172C86-12EC-41B6-BA3B-AB1801057A07,BO29A5476,2019-12-03 15:52:00,4,41,1,FI,4150.0,40.02,36,1,-1,,-1,UpTo5Years,,-1,3,1812.0,0.0,0.0,4,666.66,0.0,0,0,0.0,0.0,,0
0,2FBF0EF4-F2BA-4BD1-9498-AB180106BCB0,BO712K6A5,2019-12-03 15:56:00,6,44,2,ES,2126.0,72.76,60,5,-1,,-1,MoreThan5Years,,-1,8,1900.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,9A8833AB-12D9-4AA0-ABEB-AB180106EBA8,BO47K4135,2019-12-03 15:57:00,1,36,1,EE,531.0,8.78,12,3,-1,,-1,Other,,-1,1,516.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,FF6DCCB9-0FE6-4622-BBED-AB1801083A4C,BOA2A4135,2019-12-03 16:02:00,3,18,0,EE,531.0,40.06,60,1,-1,,-1,UpTo5Years,,-1,2,900.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,1271729A-A771-4A15-9C97-AB1801099C3F,BO1515914,2019-12-03 16:07:00,1,45,0,EE,6804.0,8.23,36,3,-1,,-1,MoreThan5Years,,-1,1,1600.0,0.0,0.0,4,604.29,0.0,0,1,4253.0,288.18,,0
0,2FA86724-7005-453D-8A17-AB180109C5CA,BO4266459,2019-12-03 16:07:00,1,63,1,EE,1807.0,36.93,60,1,-1,,-1,Retiree,,-1,10,425.0,0.0,0.0,1,34.84,0.0,0,1,1063.0,64.21,,0
0,EC0F5146-F298-4DE6-886A-AB18010B00D8,BOA414135,2019-12-03 16:12:00,4,27,0,FI,1764.0,36.54,60,3,-1,,-1,UpTo1Year,,-1,3,2000.0,0.0,0.0,1,65.0,0.0,0,0,0.0,0.0,,0
0,E7EA9C7B-980F-4533-B366-AB18010BCFC8,BO4A194K1,2019-12-03 16:15:00,1,65,1,EE,531.0,20.82,36,3,-1,,-1,Retiree,,-1,1,400.0,0.0,0.0,2,146.76,0.0,0,1,3083.0,150.77,,0
0,70E58A65-59FE-4101-9F93-AB18010BF84D,BOKK64A23,2019-12-03 16:15:00,6,49,0,ES,2126.0,72.82,60,4,-1,,-1,UpTo5Years,,-1,3,1800.0,0.0,0.0,2,410.0,0.0,0,0,0.0,0.0,,0
1,F773BDEC-5AB5-4ADD-A2BC-AB18010D099E,BO5999679,2019-12-03 16:19:00,6,42,2,ES,3189.0,54.05,36,5,-1,,-1,MoreThan5Years,,-1,1,1600.0,0.0,0.0,0,0.0,0.0,0,1,2125.0,2131.82,,0
0,94977BBD-FD4B-4EBB-AC41-AB18010EC1F2,BO931K514,2019-12-03 16:25:00,6,44,2,ES,4253.0,61.88,60,5,-1,,-1,UpTo1Year,,-1,1,1250.0,0.0,0.0,1,84.96,0.0,0,1,1594.0,84.62,,0
0,C126D1E0-7CC6-49AE-B36B-AB180114F165,BO2444135,2019-12-03 16:48:00,4,42,1,FI,2698.0,39.17,36,5,-1,,-1,UpTo5Years,,-1,3,3300.0,0.0,0.0,4,791.16,0.0,0,0,0.0,0.0,,0
0,57BAA2AC-4085-4A1F-B050-AB18011763E0,BO55525K3,2019-12-03 16:57:00,6,48,0,ES,2658.0,28.21,48,3,-1,,-1,MoreThan5Years,,-1,2,2156.0,0.0,0.0,2,125.59,0.0,0,2,4571.0,2257.9700000000007,,0
0,D7E958CA-4DD7-43D0-882E-AB180117BED6,BOK7K7224,2019-12-03 16:58:00,6,27,2,ES,2126.0,72.78,60,1,-1,,-1,MoreThan5Years,,-1,2,900.0,0.0,0.0,1,68.66,0.0,0,0,0.0,0.0,,0
0,BA801B61-8901-4248-B0AE-AB1801192B99,BOA436424,2019-12-03 17:03:00,1,28,1,EE,1701.0,9.53,60,4,-1,,-1,UpTo5Years,,-1,10,600.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,9F1C193C-4E1C-440C-88D2-AB1801196833,BO37A3313,2019-12-03 17:04:00,3,22,0,EE,1594.0,20.62,36,1,-1,,-1,UpTo1Year,,-1,2,400.0,0.0,0.0,1,86.0,0.0,0,0,0.0,0.0,,0
0,07CFA3A0-F41A-4207-8A78-AB18011AA006,BO4362522,2019-12-03 17:09:00,6,52,0,ES,3189.0,31.54,36,4,-1,,-1,UpTo5Years,,-1,8,2100.0,0.0,0.0,1,73.58,0.0,0,1,2126.0,92.98,,0
0,124DE1CB-6A11-4F1D-B51D-AB18011AFD67,BOA735135,2019-12-03 17:10:00,6,47,2,ES,1594.0,72.87,60,5,-1,,-1,Other,,-1,8,804.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,EA07D458-F1E5-4826-9312-AB18012181AC,BO9K25135,2019-12-03 17:34:00,4,47,1,FI,2075.0,36.91,60,4,-1,,-1,MoreThan5Years,,-1,1,2100.0,0.0,0.0,2,516.0,0.0,0,0,0.0,0.0,,0
0,6D84F43E-DA03-4264-AEBF-AB1801230D52,BOA55A4A5,2019-12-03 17:39:00,6,43,2,ES,2126.0,72.85,60,5,-1,,-1,UpTo1Year,,-1,3,1300.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,1FBFC4BE-33D6-4E7D-AEB0-AB180123678F,BO733A3A4,2019-12-03 17:40:00,6,61,2,ES,3189.0,29.67,36,5,-1,,-1,MoreThan5Years,,-1,3,2300.0,0.0,0.0,2,1088.32,0.0,0,1,2126.0,209.15,,0
0,1997D21E-9F08-4843-A435-AB180125C0BE,BOAK94K74,2019-12-03 17:49:00,6,45,2,ES,2126.0,72.81,60,5,-1,,-1,MoreThan5Years,,-1,8,1900.0,0.0,0.0,3,847.0,0.0,0,0,0.0,0.0,,0
0,FCF93C19-9C93-4A0B-8EC3-AB18012B5463,BO9KAA439,2019-12-03 18:09:00,6,22,2,ES,2126.0,72.79,60,5,-1,,-1,UpTo5Years,,-1,2,1070.0,0.0,0.0,1,313.0,0.0,0,0,0.0,0.0,,0
1,B69732CA-0E15-4572-9E8B-AB18012CD592,BO2A72659,2019-12-03 18:15:00,6,48,2,ES,2126.0,72.81,60,5,-1,,-1,UpTo1Year,,-1,10,1300.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,14A348A3-78EF-41F0-BB36-AB180133DC72,BO21A1K41,2019-12-03 18:40:00,1,49,1,EE,4253.0,9.53,60,5,-1,,-1,UpTo5Years,,-1,1,1000.0,0.0,0.0,1,80.0,0.0,0,0,0.0,0.0,,0
0,B43D4061-98E9-4A47-BD93-AB1801340B2F,BOK92K735,2019-12-03 18:41:00,1,56,1,EE,1275.0,8.79,60,4,-1,,-1,MoreThan5Years,,-1,1,750.0,0.0,0.0,1,90.0,0.0,0,0,0.0,0.0,,0
0,BCC93802-083F-4FE5-93AD-AB180133EB47,BOA72K735,2019-12-03 18:41:00,6,32,2,ES,2126.0,72.8,60,4,-1,,-1,Other,,-1,2,1300.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,4132AFA7-8969-4E2B-801B-AB18013A411E,BO5AKA735,2019-12-03 19:04:00,6,25,2,ES,2126.0,72.86,60,4,-1,,-1,UpTo5Years,,-1,2,1200.0,0.0,0.0,1,250.0,0.0,0,0,0.0,0.0,,0
0,EDB4BE36-271D-4192-A3DE-AB18013AA369,BO64A54A4,2019-12-03 19:05:00,4,49,1,FI,4150.0,16.88,60,4,-1,,-1,MoreThan5Years,,-1,3,1400.0,0.0,0.0,3,151.05,0.0,0,1,1556.0,192.75,,0
0,AE26ADD6-F853-44A4-A4F5-AB18013B8534,BO1KAA735,2019-12-03 19:08:00,1,38,0,EE,1594.0,9.53,60,1,-1,,-1,UpTo1Year,,-1,2,1800.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,CC458E44-B5A1-40DA-BC9C-AB18014099B9,BOK121AA4,2019-12-03 19:27:00,6,42,2,ES,3189.0,78.44,36,4,-1,,-1,UpTo5Years,,-1,1,2100.0,0.0,0.0,2,415.9,0.0,0,1,2126.0,186.92,,0
0,2482853D-C924-4351-8BF4-AB180144B34F,BO72K1279,2019-12-03 19:42:00,3,49,1,EE,6379.0,13.79,60,5,-1,,-1,UpTo5Years,,-1,3,800.0,0.0,0.0,2,191.8,0.0,0,1,4250.0,543.11,,0
0,F47041E0-B12B-45B1-8949-AB18014A551E,BO462274A,2019-12-03 20:02:00,3,51,1,EE,4253.0,9.52,36,4,-1,,-1,UpTo5Years,,-1,1,850.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,9C720E0A-45F8-41F3-A7AB-AB18014B4DBD,BO4KAK659,2019-12-03 20:06:00,6,34,2,ES,531.0,72.8,60,4,-1,,-1,UpTo5Years,,-1,1,1550.0,0.0,0.0,1,700.0,0.0,0,0,0.0,0.0,,0
0,04ECBB41-9893-40BE-AB49-AB18014D2CF3,BO29AA231,2019-12-03 20:13:00,4,32,0,FI,1660.0,40.57,24,3,-1,,-1,UpTo1Year,,-1,2,1900.0,0.0,0.0,2,211.63,0.0,0,2,4145.0,1053.82,,0
0,FEBE6A76-95B3-4809-97A0-AB18014D6EF7,BO26932K7,2019-12-03 20:13:00,6,22,0,ES,2126.0,72.82,60,4,-1,,-1,UpTo5Years,,-1,10,1060.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,4AEA1347-C10C-43A4-8458-AB180150B635,BO3KA3735,2019-12-03 20:25:00,1,21,1,EE,4253.0,8.05,60,1,-1,,-1,UpTo5Years,,-1,2,950.0,0.0,0.0,2,420.0,0.0,0,0,0.0,0.0,,0
0,E347EF8B-A320-492B-A93C-AB1801513611,BOA1A3735,2019-12-03 20:27:00,1,34,0,EE,2020.0,9.9,36,4,-1,,-1,MoreThan5Years,,-1,10,1000.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,0B6E57B0-B78A-45E4-B1A1-AB180153251E,BO1433735,2019-12-03 20:34:00,6,53,2,ES,2126.0,72.76,60,4,-1,,-1,MoreThan5Years,,-1,3,1200.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,6332F140-7B96-42FA-912D-AB1801544371,BO5A13735,2019-12-03 20:38:00,4,56,1,FI,622.0,36.86,60,3,-1,,-1,MoreThan5Years,,-1,3,1850.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,F304CC43-8870-43E5-9A94-AB180156B466,BOK573735,2019-12-03 20:47:00,3,25,0,EE,4253.0,13.22,36,4,-1,,-1,UpTo1Year,,-1,2,700.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
1,7CE01770-7B72-4BFB-BC48-AB18015AD416,BO3623735,2019-12-03 21:02:00,6,45,2,ES,2126.0,72.86,60,5,-1,,-1,MoreThan5Years,,-1,8,2800.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,7E3DAE76-C8FB-46CE-A8FB-AB18015B64F1,BO6323944,2019-12-03 21:04:00,6,41,2,ES,531.0,72.81,60,5,-1,,-1,MoreThan5Years,,-1,1,1800.0,0.0,0.0,2,984.0,0.0,0,0,0.0,0.0,,0
0,31C6F74E-5D44-4502-BE4C-AB1801645AD3,BO44K1735,2019-12-03 21:37:00,4,67,0,FI,3113.0,36.43,60,3,-1,,-1,Retiree,,-1,1,1800.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,B61B2331-1AD9-4233-B6F1-AB18016E4269,BOA477K92,2019-12-03 22:13:00,4,52,1,FI,3113.0,36.91,60,3,-1,,-1,MoreThan5Years,,-1,3,1478.0,0.0,0.0,1,61.04,0.0,0,1,2125.0,214.83,,0
0,8D61FF33-9B91-47D8-993C-AB1801735121,BO159K6K4,2019-12-03 22:31:00,6,40,2,ES,2126.0,72.78,60,4,-1,,-1,MoreThan5Years,,-1,3,1650.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,B01B1EC6-A333-4529-92E7-AB18017372D7,BO1A41735,2019-12-03 22:32:00,1,51,0,EE,3189.0,10.44,36,4,-1,,-1,MoreThan5Years,,-1,1,2300.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,5AD2ACF5-B432-4F25-BF36-AB180178899A,BOA3K15A2,2019-12-03 22:50:00,4,63,1,FI,4150.0,36.87,60,1,-1,,-1,MoreThan5Years,,-1,10,1842.0,0.0,0.0,2,190.64,0.0,0,2,5134.0,459.15000000000015,,0
0,AB1A0BFA-4190-48E3-88DF-AB18017940D7,BO136251,2019-12-03 22:53:00,3,25,1,EE,4253.0,9.89,36,5,-1,,-1,MoreThan5Years,,-1,2,1300.0,0.0,0.0,3,460.0,0.0,0,0,0.0,0.0,,0
1,EA986898-B0AA-46C1-81F1-AB18017CE2EC,BO4346942,2019-12-03 23:06:00,6,30,2,ES,3189.0,31.54,36,4,-1,,-1,UpTo5Years,,-1,2,1300.0,0.0,0.0,2,314.35,0.0,0,1,2125.0,426.81,,0
1,032EF63A-05E4-44F6-B7BB-AB1801855966,BO36K5679,2019-12-03 23:37:00,6,39,2,ES,2126.0,72.81,60,1,-1,,-1,UpTo5Years,,-1,3,1500.0,0.0,0.0,2,395.0,0.0,0,0,0.0,0.0,,0
0,BE975EF1-9CB4-41EA-9A4A-AB180185AB67,BO6759K93,2019-12-03 23:38:00,4,52,0,FI,4150.0,39.23,36,4,-1,,-1,UpTo1Year,,-1,1,2600.0,0.0,0.0,4,1034.45,0.0,0,1,4150.0,378.12,,0
1,8ECBB317-1C35-4BFD-AD39-AB18018AD6F1,BO64A4219,2019-12-03 23:57:00,6,31,2,ES,2126.0,61.94,60,4,-1,,-1,Other,,-1,2,800.0,0.0,0.0,2,285.84,0.0,0,1,2125.0,380.51,,0
0,5E153E6E-696B-4633-B32B-AB1900005FE7,BO9247735,2019-12-04 00:01:00,3,23,1,EE,531.0,12.87,60,5,-1,,-1,UpTo1Year,,-1,3,1200.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
0,AD1176E0-549F-4137-9545-AB1900007746,BO1K245A6,2019-12-04 00:01:00,4,50,0,FI,4150.0,39.85,36,3,-1,,-1,UpTo1Year,,-1,3,1900.0,0.0,0.0,1,380.0,0.0,0,0,0.0,0.0,,0
0,3A530923-C345-4514-B560-AB190001D514,BO5145A66,2019-12-04 00:06:00,1,22,0,EE,4253.0,27.3,36,4,-1,,-1,UpTo1Year,,-1,1,800.0,0.0,0.0,2,90.78,0.0,0,1,2232.0,119.74,,0
0,6FDC02E8-AAAA-418B-BE1D-AB19000FAF16,BO7K15946,2019-12-04 00:57:00,4,40,1,FI,4150.0,40.06,36,5,-1,,-1,MoreThan5Years,,-1,3,3000.0,0.0,0.0,8,1703.29,0.0,0,1,2594.0,201.76,,0
0,1EF07520-CB8B-4F98-879C-AB190011496C,BOA3A7626,2019-12-04 01:02:00,6,52,0,ES,3189.0,54.05,36,4,-1,,-1,UpTo5Years,,-1,2,1080.0,0.0,0.0,1,113.32,0.0,0,1,2126.0,205.82,,0
1,D39A3555-4C04-459F-8AB3-AB190012F2B7,BO5592K49,2019-12-04 01:08:00,6,41,2,ES,4253.0,43.21,60,1,-1,,-1,MoreThan5Years,,-1,1,1925.0,0.0,0.0,3,315.31,0.0,0,1,1807.0,183.39,,0
0,8AE26906-C834-4CC6-9B83-AB190014C173,BO2924622,2019-12-04 01:15:00,6,45,0,ES,1063.0,51.18,60,4,-1,,-1,MoreThan5Years,,-1,8,1450.0,0.0,0.0,2,312.31,0.0,0,1,1169.0,122.27,,0
1,D7633135-01BA-4553-BB33-AB19002155D9,BOK656735,2019-12-04 02:01:00,4,18,0,FI,518.0,36.44,60,3,-1,,-1,Other,,-1,3,150.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,,0
