Column Index,Column Name,Type of Variable,"Values (range, levels, examples, etc)",Short Description,Joining Keys with Other data set
21,CreditScoreFiAsiakasTietoRiskGrade,STRING,NaN,Credit Scoring model for Finnish Asiakastieto RL1 Very low risk 01-20 RL2 Low risk 21-40 RL3 Average risk 41-60 RL4 Big risk 61-80 RL5 Huge risk 81-100,
22,CurrentDebtDaysPrimary,INT,364,How long the loan has been in Principal Debt,
23,CurrentDebtDaysSecondary,INT,442,How long the loan has been in Interest Debt,
24,DateOfBirth,TIMESTAMP,NaN,The date of the borrower's birth,
25,DebtOccuredOn,TIMESTAMP,14/01/2020,The date when Principal Debt occurred,
26,DebtOccuredOnForSecondary,TIMESTAMP,28/10/2019,The date when Interest Debt occurred,
27,DebtToIncome,DECIMAL,26.29,Ratio of borrower's monthly gross income that goes toward paying loans,
28,DefaultDate,TIMESTAMP,14/01/2020,The date when loan went into defaulted state and collection process was started,
29,EAD1,DECIMAL,1251.98,"Exposure at default, outstanding principal at default",
30,EAD2,DECIMAL,64.07,"Exposure at default, loan amount less all payments prior to default",
31,Education,INT,4,1 Primary education 2 Basic education 3 Vocational education 4 Secondary education 5 Higher education,
32,EL_V0,DECIMAL,NaN,Expected loss calculated by the specified version of Rating model,
33,EL_V1,DECIMAL,NaN,Expected loss calculated by the specified version of Rating model,
34,EmploymentDurationCurrentEmployer,STRING,MoreThan5Years,Employment time with the current employer,
35,EmploymentPosition,STRING,NaN,Employment position with the current employer,
36,EmploymentStatus,INT,6,1 Unemployed 2 Partially employed 3 Fully employed 4 Self-employed 5 Entrepreneur 6 Retiree,
37,ExistingLiabilities,INT,8,Borrower's number of existing liabilities,
38,ExpectedLoss,FLOAT,0.0685119,Expected Loss calculated by the current Rating model,
39,ExpectedReturn,FLOAT,0.141145,Expected Return calculated by the current Rating model,
40,FirstPaymentDate,TIMESTAMP,12/05/2016,First payment date according to initial loan schedule,
41,FreeCash,DECIMAL,10.92,Discretionary income after monthly liabilities,
42,Gender,INT,1,0 Male 1 Woman 2 Undefined,
43,GracePeriodEnd,TIMESTAMP,27/01/2020,Date of the end of Grace period,
44,GracePeriodStart,TIMESTAMP,28/10/2019,Date of the beginning of Grace period,
45,HomeOwnershipType,INT,1,"0 Homeless 1 Owner 2 Living with parents 3 Tenant, pre-furnished property 4 Tenant, unfurnished property 5 Council house 6 Joint tenant 7 Joint ownership 8 Mortgage 9 Owner with encumbrance 10 Other",
46,IncomeFromChildSupport,DECIMAL,0,Borrower's income from alimony payments,
47,IncomeFromFamilyAllowance,DECIMAL,0,Borrower's income from child support,
48,IncomeFromLeavePay,DECIMAL,0,Borrower's income from paternity leave,
49,IncomeFromPension,DECIMAL,301,Borrower's income from pension,
50,IncomeFromPrincipalEmployer,DECIMAL,0,Borrower's income from its employer,
51,IncomeFromSocialWelfare,DECIMAL,53,Borrower's income from social support,
52,IncomeOther,DECIMAL,0,Borrower's income from other sources,
53,IncomeTotal,DECIMAL,354,Borrower's total income,
54,Interest,DECIMAL,20.97,Maximum interest rate accepted in the loan application,
55,InterestAndPenaltyBalance,DECIMAL,313.09,Unpaid interest and penalties,
56,InterestAndPenaltyDebtServicingCost,DECIMAL,44.75,Service cost related to the recovery of the debt based on the interest and penalties of the investment,
57,InterestAndPenaltyPaymentsMade,DECIMAL,1187.91,"Note owner received loan transfers earned interest, penalties total amount",
58,InterestAndPenaltyWriteOffs,DECIMAL,0,Interest that was written off on the investment,
59,InterestRecovery,DECIMAL,0,Interest recovered due to collection process from in debt loans,
60,LanguageCode,INT,1,1 Estonian 2 English 3 Russian 4 Finnish 5 German 6 Spanish 9 Slovakian,
61,LastPaymentOn,TIMESTAMP,31/12/2020,The date of the current last payment received from the borrower,
62,LiabilitiesTotal,DECIMAL,485.09,Total monthly liabilities,
63,ListedOnUTC,TIMESTAMP,23/03/2016 16:07,Date when the loan application appeared on Primary Market,
64,LoanApplicationStartedDate,TIMESTAMP,17/03/2016 12:39,Loan Application Datetime,
65,LoanDate,TIMESTAMP,23/03/2016,Date when the loan was issued,
66,LoanDuration,INT,60,Current loan duration in months,
67,LoanId,STRING,66AE108B-532B-4BB3-BAB7-0019A46412C1,A unique ID given to all loan applications,
68,LoanNumber,STRING,483449,A unique number given to all loan applications,
69,LossGivenDefault,DECIMAL,0.58,"Gives the percentage of outstanding exposure at the time of default that an investor is likely to lose if a loan actually defaults. This means the proportion of funds lost for the investor after all expected recovery and accounting for the time value of the money recovered. In general, LGD parameter is intended to be estimated based on the historical recoveries. However, in new markets where limited experience does not allow us more precise loss given default estimates, a LGD of 90% is assumed.",
70,MaritalStatus,INT,2,1 Married 2 Cohabitant 3 Single 4 Divorced 5 Widow,
71,MaturityDate_Last,TIMESTAMP,26/06/2020,Loan maturity date according to the current payment schedule,
72,MaturityDate_Original,TIMESTAMP,12/04/2021,Loan maturity date according to the original loan schedule,
73,ModelVersion,FLOAT,2,The version of the Rating model used for issuing the Bondora Rating,
74,MonthlyPayment,DECIMAL,62.05,Estimated amount the borrower has to pay every month,
75,MonthlyPaymentDay,INT,12,The day of the month the loan payments are scheduled for The actual date is adjusted for weekends and bank holidays (e.g. if 10th is Sunday then the payment will be made on the 11th in that month),
76,NewCreditCustomer,BOOLEAN,FALSE,Did the customer have prior credit history in Bondora 0 Customer had at least 3 months of credit history in Bondora 1 No prior credit history in Bondora,
77,NextPaymentDate,TIMESTAMP,NaN,According to schedule the next date for borrower to make their payment,
78,NextPaymentNr,FLOAT,NaN,According to schedule the number of the next payment,
79,NoOfPreviousLoansBeforeLoan,INT,1,Number of previous loans,
80,NrOfDependants,STRING,0,Number of children or other dependants,
81,NrOfScheduledPayments,INT,NaN,According to schedule the count of scheduled payments,
82,OccupationArea,INT,1,"1 Other 2 Mining 3 Processing 4 Energy 5 Utilities 6 Construction 7 Retail and wholesale 8 Transport and warehousing 9 Hospitality and catering 10 Info and telecom 11 Finance and insurance 12 Real-estate 13 Research 14 Administrative 15 Civil service & military 16 Education 17 Healthcare and social help 18 Art and entertainment 19 Agriculture, forestry and fishing",
83,PlannedInterestPostDefault,DECIMAL,77.68,The amount of interest that was planned to be received after the default occurred,
84,PlannedInterestTillDate,DECIMAL,1251.98,According to active schedule the amount of interest the investment should have received,
85,PlannedPrincipalPostDefault,DECIMAL,1251.98,The amount of principal that was planned to be received after the default occurred,
86,PlannedPrincipalTillDate,DECIMAL,630.22,According to active schedule the amount of principal the investment should have received,
87,PreviousEarlyRepaymentsBeforeLoan,DECIMAL,0,How much was the early repayment amount before the loan,
88,PreviousEarlyRepaymentsCountBeforeLoan,INT,0,How many times the borrower had repaid early,
89,PreviousRepaymentsBeforeLoan,DECIMAL,590.95,How much the borrower had repaid before the loan,
90,PrincipalBalance,DECIMAL,1168.79,Principal that still needs to be paid by the borrower,
91,PrincipalDebtServicingCost,DECIMAL,0,Service cost related to the recovery of the debt based on the principal of the investment,
92,PrincipalOverdueBySchedule,DECIMAL,1168.79,"According to the current schedule, principal that is overdue",
93,PrincipalPaymentsMade,DECIMAL,956.21,Note owner received loan transfers principal amount,
94,PrincipalRecovery,DECIMAL,83.19,Principal recovered due to collection process from in debt loans,
95,PrincipalWriteOffs,DECIMAL,0,Principal that was written off on the investment,
96,ProbabilityOfDefault,FLOAT,0.122216,"Probability of Default, refers to a loan’s probability of default within one year horizon.",
97,Rating,STRING,C,Bondora Rating issued by the Rating model,
98,Rating_V0,STRING,NaN,Bondora Rating issued by version 0 of the Rating model,
99,Rating_V1,STRING,NaN,Bondora Rating issued by version 1 of the Rating model,
100,Rating_V2,STRING,C,Bondora Rating issued by version 2 of the Rating model,
101,RecoveryStage,INT,2,Current stage according to the recovery model 1 Collection 2 Recovery 3 Write Off,
102,RefinanceLiabilities,INT,6,The total amount of liabilities after refinancing,
103,ReportAsOfEOD,TIMESTAMP,13/01/2021,Date of Data extraction,
104,ReScheduledOn,TIMESTAMP,NaN,The date when the a new schedule was assigned to the borrower,
105,Restructured,BOOLEAN,FALSE,The original maturity date of the loan has been increased by more than 60 days,
106,StageActiveSince,TIMESTAMP,27:48.5,How long the current recovery stage has been active,
107,Status,STRING,Late,The current status of the loan application,
108,UseOfLoan,INT,2,0 Loan consolidation 1 Real estate 2 Home improvement 3 Business 4 Education 5 Travel 6 Vehicle 7 Other 8 Health 101 Working capital financing 102 Purchase of machinery equipment 103 Renovation of real estate 104 Accounts receivable financing 105 Acquisition of means of transport 106 Construction finance 107 Acquisition of stocks 108 Acquisition of real estate 109 Guaranteeing obligation 110 Other business All codes in format 1XX are for business loans that are not supported since October 2012,
109,UserName,STRING,BO965519,The user name generated by the system for the borrower,
110,VerificationType,INT,4,"Method used for loan application data verification 0 Not set 1 Income unverified 2 Income unverified, cross-referenced by phone 3 Income verified 4 Income and expenses verified",
111,WorkExperience,STRING,15To25Years,Borrower's overall work experience in years,
112,WorseLateCategory,STRING,180+,Displays the last longest period of days when the loan was in Principal Debt,
